Index	YYYY	MM	DD	HH	HsOS	TpOS	DirOS	HsNS	TpNS	DirNS	U10	U10Dir
105129	2015	01	01	00	0.44	4.11	94.7	0.9	4.74	97.1	2.9	76
105130	2015	01	01	03	0.41	3.97	98.1	0.89	4.65	100	3.4	86
105131	2015	01	01	06	0.39	3.87	100.4	0.87	4.58	101.9	3.3	88
105132	2015	01	01	09	0.38	3.75	103	0.78	4.43	103.7	2.1	107
105133	2015	01	01	12	0.35	3.66	104.2	0.67	4.19	104.4	1.2	161
105134	2015	01	01	15	0.33	3.64	103.6	0.64	4.09	103.9	1.2	210
105135	2015	01	01	18	0.3	6.85	104.9	0.58	3.92	105.1	1	236
105136	2015	01	01	21	0.28	6.85	104.8	0.58	3.87	105.2	1.4	229
105137	2015	01	02	00	0.26	6.85	104.5	0.55	3.78	104.9	1.4	263
105138	2015	01	02	03	0.26	17.64	134.3	0.45	3.62	122.7	0.7	189
105139	2015	01	02	06	0.26	17.25	134.3	0.49	3.71	123	1.2	169
105140	2015	01	02	09	0.28	8.11	103.8	0.58	3.88	104.2	1.4	219
105141	2015	01	02	12	0.31	8.03	103.8	0.69	4.14	104.5	2.3	203
105142	2015	01	02	15	0.4	11.04	105.4	0.8	4.51	105.7	2.1	209
105143	2015	01	02	18	0.5	10.36	104.3	0.91	4.94	104.4	1.5	220
105144	2015	01	02	21	0.57	10.13	104.1	1.01	5.11	104.8	2.8	244
105145	2015	01	03	00	0.6	9.93	103.9	1.03	5.17	104.8	3	296
105146	2015	01	03	03	0.6	9.83	103.8	1.02	5.17	104.7	2.9	332
105147	2015	01	03	06	0.58	9.89	102.7	0.99	5.13	103.7	2.2	336
105148	2015	01	03	09	0.58	9.98	102.8	1.05	5.14	104.1	3.8	293
105149	2015	01	03	12	0.59	10.05	102.8	0.98	5.15	103.6	1.6	262
105150	2015	01	03	15	0.56	10.05	102.7	1	5.1	103.7	2.8	212
105151	2015	01	03	18	0.53	10	102.3	1	5.05	103.4	3.2	226
105152	2015	01	03	21	0.57	9.71	102.4	1.05	5.13	103.8	4	259
105153	2015	01	04	00	0.58	9.25	101.8	1.06	5.14	103.4	4.1	298
105154	2015	01	04	03	0.56	9.01	101.3	1	5.1	102.6	2.8	305
105155	2015	01	04	06	0.51	8.97	101.9	0.95	4.99	102.7	2.3	343
105156	2015	01	04	09	0.46	14.89	134.3	0.82	4.73	122.4	2	285
105157	2015	01	04	12	0.42	15.03	134.3	0.75	4.54	122.5	1.8	322
105158	2015	01	04	15	0.38	15.3	134.3	0.65	4.28	122.2	1	228
105159	2015	01	04	18	0.34	15.56	134.3	0.58	4.06	122.3	0.9	207
105160	2015	01	04	21	0.31	15.54	134.3	0.58	4	122.9	1.5	226
105161	2015	01	05	00	0.29	15.29	134.3	0.55	3.88	122.9	1.4	281
105162	2015	01	05	03	0.27	15.07	134.3	0.55	3.85	123.3	1.8	0
105163	2015	01	05	06	0.27	14.97	134.3	0.49	3.73	122.8	1	73
105164	2015	01	05	09	0.27	14.9	134.3	0.47	3.7	122.7	0.8	21
105165	2015	01	05	12	0.28	14.86	134.3	0.48	3.73	122.6	0.7	179
105166	2015	01	05	15	0.3	14.82	134.3	0.52	3.86	122.6	0.9	123
105167	2015	01	05	18	0.31	14.78	134.3	0.53	3.89	122.4	0.8	195
105168	2015	01	05	21	0.31	14.75	134.3	0.63	4.07	123.2	2	296
105169	2015	01	06	00	0.29	14.74	134.4	0.74	4.24	124.4	3.7	307
105170	2015	01	06	03	0.33	14.59	134.4	0.73	4.3	123.9	3.1	320
105171	2015	01	06	06	0.33	14.54	134.4	0.6	4.07	122.7	1.4	315
105172	2015	01	06	09	0.29	14.56	134.3	0.69	4.16	124.1	3.1	272
105173	2015	01	06	12	0.26	14.53	134.3	0.58	3.89	123.6	2.3	280
105174	2015	01	06	15	0.24	14.43	134.5	0.61	3.97	124.2	3	296
105175	2015	01	06	18	0.39	2.69	316.4	0.42	3.39	6.3	4.8	295
105176	2015	01	06	21	0.54	3.19	326	0.53	3.8	12.4	4.9	309
105177	2015	01	07	00	0.63	3.5	330.8	0.62	4.06	14.4	5.8	303
105178	2015	01	07	03	0.66	3.57	329.2	0.59	4.08	14.9	5.1	303
105179	2015	01	07	06	0.64	3.6	326.3	0.56	3.98	12.8	5.1	309
105180	2015	01	07	09	0.63	3.48	314.6	0.5	3.7	3.8	5.4	300
105181	2015	01	07	12	0.65	3.53	316.1	0.5	3.77	5.5	5.2	317
105182	2015	01	07	15	0.6	3.76	328.7	0.52	3.96	16.5	3.9	325
105183	2015	01	07	18	0.55	3.95	334.3	0.56	3.98	18.7	4.1	305
105184	2015	01	07	21	0.55	3.88	331.3	0.56	3.92	15.8	4.8	307
105185	2015	01	08	00	0.57	3.64	325.7	0.5	3.84	14.1	4.1	306
105186	2015	01	08	03	0.53	3.68	329.4	0.5	3.82	16.2	4	300
105187	2015	01	08	06	0.49	3.64	329.2	0.47	3.72	16.7	3.6	304
105188	2015	01	08	09	0.45	8.9	114.6	0.97	4.86	113.8	4.1	290
105189	2015	01	08	12	0.43	3.06	314.1	0.33	3.35	10.7	2.9	305
105190	2015	01	08	15	0.37	8.8	113.5	0.7	4.29	112.2	1.2	309
105191	2015	01	08	18	0.31	8.83	112.2	0.72	4.2	112	2.6	270
105192	2015	01	08	21	0.31	8.5	111.8	0.78	4.32	111.9	3.5	285
105193	2015	01	09	00	0.41	2.82	302.6	0.32	3.22	359.3	4.2	310
105194	2015	01	09	03	0.44	3.18	301.9	0.28	3.25	2.7	3.3	314
105195	2015	01	09	06	0.42	3.35	297.2	0.22	3.13	6.2	2.4	303
105196	2015	01	09	09	0.38	3.5	293.4	0.26	3	0.5	3.5	295
105197	2015	01	09	12	0.36	3.52	292.1	0.2	2.87	7	2.3	307
105198	2015	01	09	15	0.3	3.55	291.5	0.15	2.65	9.7	1.6	257
105199	2015	01	09	18	0.24	3.57	290.4	0.16	2.56	5.9	2.1	277
105200	2015	01	09	21	0.19	3.58	290.1	0.15	2.64	2.7	2.7	331
105201	2015	01	10	00	0.17	13.4	134.9	0.33	3.68	123.3	1.4	9
105202	2015	01	10	03	0.15	13.48	134.8	0.28	3.65	123.2	1.2	107
105203	2015	01	10	06	0.15	13.51	134.8	0.29	3.66	123.2	1.2	70
105204	2015	01	10	09	0.16	13.45	134.9	0.34	3.76	123.6	1.8	80
105205	2015	01	10	12	0.22	3.17	75	0.54	3.86	80.6	2.5	132
105206	2015	01	10	15	0.3	3.86	99.4	0.77	4.26	101.1	3.5	124
105207	2015	01	10	18	0.49	2.97	116.6	1.05	5.02	115.5	4.9	133
105208	2015	01	10	21	0.63	4.6	111.6	1.08	5.17	110.9	4.3	132
105209	2015	01	11	00	0.73	4.95	113.3	1.07	5.29	111.2	2.5	122
105210	2015	01	11	03	0.79	5.23	115.1	1.13	5.31	112.7	3.8	91
105211	2015	01	11	06	0.81	5.38	117.6	1.16	5.26	115	5	86
105212	2015	01	11	09	0.83	5.48	119	1.15	5.27	115.2	4.2	99
105213	2015	01	11	12	0.76	5.56	119.9	1.11	5.21	116	3.8	115
105214	2015	01	11	15	0.68	5.6	121.1	1.09	5.16	117.2	4.2	138
105215	2015	01	11	18	0.59	5.6	122.3	1.02	5.07	117.8	3.3	172
105216	2015	01	11	21	0.51	5.38	120.5	0.98	5	117.5	3.1	237
105217	2015	01	12	00	0.5	4.88	117.3	1.07	5.05	116.1	5.1	310
105218	2015	01	12	03	0.63	3.52	297.8	0.39	3.34	353.3	5.1	320
105219	2015	01	12	06	0.77	3.88	294.7	0.42	3.43	349.2	5.7	317
105220	2015	01	12	09	0.96	4.09	290.2	0.46	3.54	338.3	6.8	296
105221	2015	01	12	12	1.15	4.39	286.5	0.5	3.62	326.7	7.5	296
105222	2015	01	12	15	1.34	4.76	287.3	0.57	3.78	321.8	8.8	296
105223	2015	01	12	18	1.56	5.19	287.2	0.59	4	325	8.6	292
105224	2015	01	12	21	1.62	5.31	287.9	0.59	4.11	329.6	8.2	298
105225	2015	01	13	00	1.42	5.29	289.3	0.54	4.02	337	7.3	316
105226	2015	01	13	03	1.13	5.22	288.6	0.42	3.73	350.5	5.1	331
105227	2015	01	13	06	0.89	5.05	289	0.38	3.45	351.5	4.9	18
105228	2015	01	13	09	0.75	4.81	293.1	0.3	3.45	6.6	2.8	22
105229	2015	01	13	12	0.66	4.49	315.9	0.43	3.83	10.5	3.4	288
105230	2015	01	13	15	0.6	4.38	332.3	0.6	4.04	16.1	5.1	281
