Index	YYYY	MM	DD	HH	HsOS	TpOS	DirOS	HsNS	TpNS	DirNS	U10	U10Dir
105129	2015	01	01	00	0.44	4.11	94.7	0.78	5.2	95.5	2.9	76
105130	2015	01	01	03	0.41	3.97	98.1	0.67	4.84	98.6	3.4	86
105131	2015	01	01	06	0.39	3.87	100.4	0.61	4.67	100.7	3.3	88
105132	2015	01	01	09	0.38	3.75	103	0.57	4.57	103.2	2.1	107
105133	2015	01	01	12	0.35	3.66	104.2	0.49	4.4	104.2	1.2	161
105134	2015	01	01	15	0.33	3.64	103.6	0.44	4.31	103.5	1.2	210
105135	2015	01	01	18	0.3	6.85	104.9	0.33	6.94	102.5	1	236
105136	2015	01	01	21	0.28	6.85	104.8	0.29	6.88	102.3	1.4	229
105137	2015	01	02	00	0.26	6.85	104.5	0.26	6.82	102	1.4	263
105138	2015	01	02	03	0.26	17.64	134.3	0.2	17.71	109.2	0.7	189
105139	2015	01	02	06	0.26	17.25	134.3	0.2	17.32	110	1.2	169
105140	2015	01	02	09	0.28	8.11	103.8	0.28	8.13	100.4	1.4	219
105141	2015	01	02	12	0.31	8.03	103.8	0.33	8.13	100.6	2.3	203
105142	2015	01	02	15	0.4	11.04	105.4	0.37	11.09	99.7	2.1	209
105143	2015	01	02	18	0.5	10.36	104.3	0.51	10.57	99.5	1.5	220
105144	2015	01	02	21	0.57	10.13	104.1	0.63	10.41	99.4	2.8	244
105145	2015	01	03	00	0.6	9.93	103.9	0.69	10.26	99.4	3	296
105146	2015	01	03	03	0.6	9.83	103.8	0.7	10.17	99.4	2.9	332
105147	2015	01	03	06	0.58	9.89	102.7	0.67	10.22	98.5	2.2	336
105148	2015	01	03	09	0.58	9.98	102.8	0.66	10.3	98.5	3.8	293
105149	2015	01	03	12	0.59	10.05	102.8	0.67	10.36	98.4	1.6	262
105150	2015	01	03	15	0.56	10.05	102.7	0.62	10.35	98.3	2.8	212
105151	2015	01	03	18	0.53	10	102.3	0.58	10.3	98.1	3.2	226
105152	2015	01	03	21	0.57	9.71	102.4	0.67	10.07	98.4	4	259
105153	2015	01	04	00	0.58	9.25	101.8	0.72	9.7	98.2	4.1	298
105154	2015	01	04	03	0.56	9.01	101.3	0.71	9.5	98	2.8	305
105155	2015	01	04	06	0.51	8.97	101.9	0.62	9.42	98.6	2.3	343
105156	2015	01	04	09	0.46	14.89	134.3	0.36	14.91	115.1	2	285
105157	2015	01	04	12	0.42	15.03	134.3	0.32	15.05	114.8	1.8	322
105158	2015	01	04	15	0.38	15.3	134.3	0.29	15.33	114.2	1	228
105159	2015	01	04	18	0.34	15.56	134.3	0.26	15.59	113.7	0.9	207
105160	2015	01	04	21	0.31	15.54	134.3	0.24	15.57	113.7	1.5	226
105161	2015	01	05	00	0.29	15.29	134.3	0.22	15.32	114.2	1.4	281
105162	2015	01	05	03	0.27	15.07	134.3	0.21	15.09	114.7	1.8	0
