"sep= "
                name                mean                 std                 min                 max
        Body1Surge_m             153.359             44.2131             81.8594             263.155
         Body1Sway_m             72.8502             56.3841            -13.2739             215.633
        Body1Heave_m            -22.5008         0.000150072            -22.5024            -22.5006
       Body1Roll_rad        -8.72577e-06         9.27544e-05        -0.000475404         0.000926701
      Body1Pitch_rad         2.50213e-07         6.19369e-06        -3.50741e-05         4.58027e-05
        Body1Yaw_rad            -1.66302             2.17088            -3.14156             3.14159
        Body2Surge_m             0.46956             3.67197            -14.2201             13.5134
         Body2Sway_m            0.638578             3.31033            -14.9349             13.6223
           Fline01_N               79259              216205                   0          1.6229e+06
           Fline02_N             92384.2              220417                   0         1.72141e+06
          Tchain01_N              120638              153604             72602.5         2.15996e+06
          Tchain02_N              110395              111984             72191.4         1.63451e+06
          Tchain03_N              120379              126541             72698.6         1.68354e+06
          Tchain04_N              133465              140239             72442.6         1.70017e+06
          Tchain05_N              146869              234387             72615.1         3.33407e+06
          Tchain06_N              126490              124684             72608.1         1.34736e+06
        Lsbchain01_m             329.088             27.9243             33.8029             347.391
        Lsbchain02_m             331.621             22.0652             81.9971             347.642
        Lsbchain03_m             328.837             26.9934             77.1928             347.333
        Lsbchain04_m               324.5             30.3166             75.5791             347.489
        Lsbchain05_m             322.684             37.5144                   0             347.384
        Lsbchain06_m             326.221             27.1348             111.758             347.388
     HawserAngle_rad             2.70013             1.74087         1.25975e-05             6.28304
 relhordistbowbuoy_m             60.3758             12.1463             8.48141             77.6205
  relhordiststbd01_m             62.1277             14.3373             19.0035              87.321
  relhordiststbd02_m             64.5026             19.4182             14.5937             98.9863
  relhordiststbd03_m              67.524             24.8577              11.663             110.078
  relhordiststbd04_m             71.4202             29.9008             4.88151             120.842
  relhordiststbd05_m             75.8364             33.7453             1.77773             130.934
  relhordiststbd06_m             81.5658             36.6051              6.9369             141.042
  relhordistport01_m               58.71              15.284             3.57879             85.8312
  relhordistport02_m             58.3871             21.7762             2.03266             98.0368
  relhordistport03_m             59.2315             28.6733             1.82637             109.126
  relhordistport04_m             61.3933             34.9988             2.14433             119.701
  relhordistport05_m             64.9776             39.8747             1.13748             129.279
  relhordistport06_m             70.2666             43.5971             1.18829             139.165
      zkeelpoint01_m            -22.5006          0.00288642            -22.5311             -22.488
      zkeelpoint02_m            -22.5009         0.000975093            -22.5084            -22.4964
      zkeelpoint03_m            -22.5011          0.00280198            -22.5165            -22.4755
      zkeelpoint04_m            -22.5011          0.00285094            -22.5145            -22.4722
      zkeelpoint05_m            -22.5008          0.00114524            -22.5084            -22.4928
      zkeelpoint06_m            -22.5006          0.00279407            -22.5278             -22.486
WindWaveHeightAtEFOrigin_m                   0                   0                   0                   0
SwellWaveHeightAtEFOrigin_m                   0                   0                   0                   0
       WindSpeed_m/s                   0                   0                   0                   0
    CurrentSpeed_m/s                 0.2         1.03238e-07                 0.2                 0.2
     pullbackforce_N                   0                   0                   0                   0
